sample	group	seqs_pct	seqs	bases_pct	bases
smart9n/full/rlb/1	human	5.17	415	16.50	671027
smart9n/full/rlb/1	rna-viruses	1.73	139	6.15	250169
smart9n/full/rlb/1	dna-viruses	1.62	130	4.36	177200
smart9n/full/rlb/1	bacteria	1.17	94	4.10	166556
smart9n/full/rlb/1	ambiguous	0.37	30	2.27	92228
smart9n/full/rlb/2	unclassified	91.64	8479	71.32	3098266
smart9n/full/rlb/2	human	4.06	376	13.79	599203
smart9n/full/rlb/2	bacteria	1.37	127	4.65	201843
smart9n/full/rlb/2	rna-viruses	1.35	125	4.47	194081
smart9n/full/rlb/2	dna-viruses	1.33	123	4.08	177193
smart9n/full/rlb/2	ambiguous	0.25	23	1.69	73580
smart9n/full/rlb/neg	unclassified	90.01	4531	65.71	1738592
smart9n/full/rlb/neg	human	5.50	277	18.13	479756
smart9n/full/rlb/neg	rna-viruses	1.49	75	4.95	130966
smart9n/full/rlb/neg	dna-viruses	1.43	72	4.63	122460
smart9n/full/rlb/neg	bacteria	1.17	59	4.19	110929
smart9n/full/rlb/neg	ambiguous	0.40	20	2.39	63148
smart9n/full/neb+rlb/1	unclassified	57.47	28051	37.01	13250801
smart9n/full/neb+rlb/1	human	26.20	12790	35.40	12673181
smart9n/full/neb+rlb/1	dna-viruses	6.37	3108	9.52	3408149
smart9n/full/neb+rlb/1	bacteria	5.07	2474	7.94	2842580
smart9n/full/neb+rlb/1	rna-viruses	3.92	1915	6.91	2475330
smart9n/full/neb+rlb/1	ambiguous	0.97	472	3.21	1150429
smart9n/full/neb+rlb/2	unclassified	52.66	20783	34.49	11212917
smart9n/full/neb+rlb/2	human	28.69	11321	36.39	11829479
smart9n/full/neb+rlb/2	dna-viruses	7.20	2843	10.07	3274202
smart9n/full/neb+rlb/2	bacteria	5.99	2364	8.81	2862455
smart9n/full/neb+rlb/2	rna-viruses	4.56	1801	7.28	2366924
smart9n/full/neb+rlb/2	ambiguous	0.89	353	2.96	960877
smart9n/tag/neb/1	human	39.25	364571	37.89	379028160
smart9n/tag/neb/1	unclassified	25.13	233437	24.06	240645046
smart9n/tag/neb/1	dna-viruses	13.16	122197	13.27	132781567
smart9n/tag/neb/1	bacteria	11.68	108467	12.16	121598122
smart9n/tag/neb/1	rna-viruses	10.09	93719	10.85	108538158
smart9n/tag/neb/1	ambiguous	0.70	6505	1.77	17658167
smart9n/tag/neb/2	human	39.78	199919	37.86	191623300
smart9n/tag/neb/2	unclassified	25.53	128279	24.32	123071969
smart9n/tag/neb/2	dna-viruses	12.31	61844	12.49	63212239
smart9n/tag/neb/2	bacteria	11.11	55808	11.66	59017674
smart9n/tag/neb/2	rna-viruses	10.10	50776	11.04	55869564
smart9n/tag/neb/2	ambiguous	1.17	5874	2.64	13337775
smart9n/tag/rlb/1	unclassified	93.21	7054	74.22	2583716
smart9n/tag/rlb/1	human	3.65	276	13.20	459493
smart9n/tag/rlb/1	rna-viruses	1.20	91	4.73	164783
smart9n/tag/rlb/1	dna-viruses	0.96	73	3.45	120004
smart9n/tag/rlb/1	bacteria	0.71	54	2.44	84951
smart9n/tag/rlb/1	ambiguous	0.26	20	1.96	68147
smart9n/tag/rlb/2	unclassified	92.42	8060	75.07	3373639
smart9n/tag/rlb/2	human	4.27	372	12.73	572111
smart9n/tag/rlb/2	rna-viruses	1.17	102	4.08	183210
smart9n/tag/rlb/2	bacteria	0.91	79	3.13	140626
smart9n/tag/rlb/2	dna-viruses	0.91	79	2.83	127136
smart9n/tag/rlb/2	ambiguous	0.33	29	2.17	97482
smart9n/tag/neb+rlb/1	unclassified	95.31	31289	82.34	11941599
smart9n/tag/neb+rlb/1	human	2.49	818	9.05	1311930
smart9n/tag/neb+rlb/1	rna-viruses	1.03	339	3.42	495842
smart9n/tag/neb+rlb/1	dna-viruses	0.58	190	2.25	325691
smart9n/tag/neb+rlb/1	bacteria	0.45	147	1.96	284687
smart9n/tag/neb+rlb/1	ambiguous	0.13	44	0.98	142376
smart9n/tag/neb+rlb/2	unclassified	96.72	18399	86.04	6616368
smart9n/tag/neb+rlb/2	human	1.63	311	6.85	527151
smart9n/tag/neb+rlb/2	rna-viruses	0.83	157	2.93	225682
smart9n/tag/neb+rlb/2	dna-viruses	0.38	72	1.73	132872
smart9n/tag/neb+rlb/2	bacteria	0.32	60	1.43	110297
smart9n/tag/neb+rlb/2	ambiguous	0.13	24	1.01	77851
smart9n/full+tag/neb/1	human	40.15	214968	38.35	224405589
smart9n/full+tag/neb/1	unclassified	25.68	137492	25.26	147816248
smart9n/full+tag/neb/1	dna-viruses	12.49	66852	12.58	73605048
smart9n/full+tag/neb/1	bacteria	10.69	57245	11.02	64474914
smart9n/full+tag/neb/1	rna-viruses	10.32	55235	11.14	65186630
smart9n/full+tag/neb/1	ambiguous	0.68	3622	1.65	9674079
smart9n/full+tag/neb/2	human	39.46	393394	37.36	373665070
smart9n/full+tag/neb/2	unclassified	25.93	258480	25.51	255164256
smart9n/full+tag/neb/2	dna-viruses	13.28	132412	13.47	134685741
smart9n/full+tag/neb/2	bacteria	11.16	111223	11.86	118627850
smart9n/full+tag/neb/2	rna-viruses	9.63	95961	10.62	106214440
smart9n/full+tag/neb/2	ambiguous	0.54	5350	1.18	11813074
smart9n/full+tag/rlb/1	unclassified	94.80	12678	77.18	4187270
smart9n/full+tag/rlb/1	human	2.92	390	11.95	648079
smart9n/full+tag/rlb/1	rna-viruses	0.86	115	3.79	205728
smart9n/full+tag/rlb/1	dna-viruses	0.62	83	2.39	129561
smart9n/full+tag/rlb/1	bacteria	0.56	75	2.45	132918
smart9n/full+tag/rlb/1	ambiguous	0.25	33	2.24	121710
smart9n/full+tag/rlb/2	unclassified	94.54	17296	77.36	6047306
smart9n/full+tag/rlb/2	human	2.98	546	11.36	888303
smart9n/full+tag/rlb/2	rna-viruses	0.89	162	3.41	266814
smart9n/full+tag/rlb/2	dna-viruses	0.76	139	2.92	227909
smart9n/full+tag/rlb/2	bacteria	0.52	96	2.45	191393
smart9n/full+tag/rlb/2	ambiguous	0.30	55	2.50	195644
smart9n/full+tag/neb+rlb/1	unclassified	96.69	36700	88.17	14021464
smart9n/full+tag/neb+rlb/1	human	1.85	701	6.32	1004287
smart9n/full+tag/neb+rlb/1	rna-viruses	0.68	260	2.12	337163
smart9n/full+tag/neb+rlb/1	dna-viruses	0.40	152	1.47	233546
smart9n/full+tag/neb+rlb/1	bacteria	0.29	110	1.31	208396
smart9n/full+tag/neb+rlb/1	ambiguous	0.09	34	0.62	98044
smart9n/full+tag/neb+rlb/2	unclassified	96.66	50314	87.99	18415900
smart9n/full+tag/neb+rlb/2	human	1.83	952	6.31	1321179
smart9n/full+tag/neb+rlb/2	rna-viruses	0.73	378	2.23	466100
smart9n/full+tag/neb+rlb/2	dna-viruses	0.39	201	1.42	296540
smart9n/full+tag/neb+rlb/2	bacteria	0.30	155	1.20	250483
smart9n/full+tag/neb+rlb/2	ambiguous	0.10	51	0.85	178163
roundaspike/full/neb/1	human	35.57	576993	35.48	354831745
roundaspike/full/neb/1	bacteria	35.39	574080	33.06	330658310
roundaspike/full/neb/1	unclassified	16.33	264897	15.05	150553535
roundaspike/full/neb/1	rna-viruses	7.45	120877	10.52	105168718
roundaspike/full/neb/1	dna-viruses	4.96	80440	5.23	52352131
roundaspike/full/neb/1	ambiguous	0.30	4857	0.66	6604922
roundaspike/full/neb/2	human	97.29	2374147	98.09	980991177
roundaspike/full/neb/2	unclassified	2.65	64602	1.78	17814610
roundaspike/full/neb/2	ambiguous	0.06	1388	0.12	1245957
roundaspike/full/neb/2	bacteria	0.00	81	0.01	51221
roundaspike/full/neb/2	rna-viruses	0.00	18	0.00	9568
roundaspike/full/neb/2	dna-viruses	0.00	12	0.00	8425
roundaspike/full/neb/3	human	98.37	1164951	98.75	987700353
roundaspike/full/neb/3	bacteria	0.66	7842	0.53	5298890
roundaspike/full/neb/3	unclassified	0.64	7533	0.35	3490155
roundaspike/full/neb/3	rna-viruses	0.14	1665	0.15	1451900
roundaspike/full/neb/3	ambiguous	0.11	1341	0.16	1642874
roundaspike/full/neb/3	dna-viruses	0.08	912	0.06	648902
roundaspike/full/neb/neg	human	93.78	1674	96.74	1529625
roundaspike/full/neb/neg	unclassified	4.26	76	1.69	26741
roundaspike/full/neb/neg	bacteria	1.29	23	0.78	12309
roundaspike/full/neb/neg	rna-viruses	0.56	10	0.62	9853
roundaspike/full/neb/neg	dna-viruses	0.06	1	0.06	1027
roundaspike/full/neb/neg	ambiguous	0.06	1	0.10	1544
roundaspike/tag/neb/1	human	34.68	665005	34.09	340976394
roundaspike/tag/neb/1	bacteria	29.72	569894	28.79	287989119
roundaspike/tag/neb/1	unclassified	22.58	433009	19.37	193722193
roundaspike/tag/neb/1	rna-viruses	8.27	158554	12.78	127819702
roundaspike/tag/neb/1	dna-viruses	4.38	83960	4.15	41539678
roundaspike/tag/neb/1	ambiguous	0.38	7338	0.82	8164777
roundaspike/tag/neb/2	human	97.59	2174039	98.45	984810724
roundaspike/tag/neb/2	unclassified	2.36	52587	1.43	14343726
roundaspike/tag/neb/2	ambiguous	0.05	1100	0.11	1083671
roundaspike/tag/neb/2	bacteria	0.00	30	0.00	23424
roundaspike/tag/neb/2	rna-viruses	0.00	18	0.00	14807
roundaspike/tag/neb/2	dna-viruses	0.00	6	0.00	5860
roundaspike/tag/neb/3	human	97.71	1283905	98.30	983127463
roundaspike/tag/neb/3	unclassified	1.04	13605	0.53	5263853
roundaspike/tag/neb/3	bacteria	0.89	11738	0.68	6816635
roundaspike/tag/neb/3	rna-viruses	0.16	2076	0.19	1918359
roundaspike/tag/neb/3	ambiguous	0.12	1584	0.23	2282479
roundaspike/tag/neb/3	dna-viruses	0.09	1152	0.07	728787
roundaspike/tag/neb/neg	human	97.58	1129363	97.75	416124681
roundaspike/tag/neb/neg	unclassified	2.11	24442	1.70	7217829
roundaspike/tag/neb/neg	ambiguous	0.31	3548	0.55	2350537
roundaspike/tag/neb/neg	rna-viruses	0.00	12	0.00	11705
roundaspike/tag/neb/neg	bacteria	0.00	11	0.00	7990
roundaspike/tag/neb/neg	dna-viruses	0.00	2	0.00	1441
roundaspike/tag/rlb/1	unclassified	93.58	26888	79.12	6259608
roundaspike/tag/rlb/1	human	5.68	1632	18.83	1489649
roundaspike/tag/rlb/1	bacteria	0.58	168	1.26	99977
roundaspike/tag/rlb/1	dna-viruses	0.09	26	0.62	49135
roundaspike/tag/rlb/1	rna-viruses	0.06	18	0.13	10520
roundaspike/tag/rlb/1	ambiguous	0.01	2	0.04	3029
roundaspike/tag/rlb/2	human	99.18	2157538	99.46	994644674
roundaspike/tag/rlb/2	unclassified	0.68	14749	0.39	3924675
