sample	group	seqs_pct	seqs	bases_pct	bases
roundab/full/neb/1	human	31.18	606415	31.37	313708698
roundab/full/neb/1	unclassified	30.43	591782	24.24	242369427
roundab/full/neb/1	bacteria	23.88	464386	23.46	234607945
roundab/full/neb/1	rna-viruses	9.16	178170	13.68	136801731
roundab/full/neb/1	dna-viruses	5.18	100727	6.88	68845437
roundab/full/neb/1	ambiguous	0.17	3396	0.37	3697094
roundab/full/neb/2	human	34.53	623873	33.06	330569889
roundab/full/neb/2	unclassified	24.94	450592	21.28	212827435
roundab/full/neb/2	bacteria	23.74	428976	22.67	226735609
roundab/full/neb/2	rna-viruses	9.64	174217	14.25	142484655
roundab/full/neb/2	dna-viruses	6.87	124047	8.23	82325861
roundab/full/neb/2	ambiguous	0.27	4928	0.51	5092619
roundab/full/neb/neg	unclassified	83.38	311	73.22	148805
roundab/full/neb/neg	human	11.26	42	14.58	29632
roundab/full/neb/neg	bacteria	3.75	14	8.13	16527
roundab/full/neb/neg	rna-viruses	1.34	5	3.79	7708
roundab/full/neb/neg	dna-viruses	0.27	1	0.28	559
roundab/full/neb/neg	ambiguous	0.00	0	0.00	0
roundab/frag/neb/1	human	31.75	680808	32.67	326830720
roundab/frag/neb/1	unclassified	30.25	648613	24.66	246661476
roundab/frag/neb/1	bacteria	24.37	522465	23.35	233551933
roundab/frag/neb/1	rna-viruses	7.58	162422	12.04	120384881
roundab/frag/neb/1	dna-viruses	5.90	126449	6.94	69388091
roundab/frag/neb/1	ambiguous	0.15	3223	0.35	3454373
roundab/frag/neb/neg	unclassified	83.36	451	71.37	176915
roundab/frag/neb/neg	human	11.28	61	16.11	39931
roundab/frag/neb/neg	bacteria	2.22	12	5.59	13860
roundab/frag/neb/neg	rna-viruses	1.85	10	4.08	10119
roundab/frag/neb/neg	dna-viruses	1.29	7	2.85	7057
roundab/frag/neb/neg	ambiguous	0.00	0	0.00	0
roundab/frag/rlb/1	unclassified	99.76	160853	99.31	35386996
roundab/frag/rlb/1	bacteria	0.13	205	0.34	121449
roundab/frag/rlb/1	human	0.06	98	0.15	54362
roundab/frag/rlb/1	rna-viruses	0.03	47	0.08	26770
roundab/frag/rlb/1	dna-viruses	0.02	39	0.12	42705
roundab/frag/rlb/1	ambiguous	0.00	0	0.00	0
roundab/frag/rlb/2	unclassified	99.46	69361	98.43	14857523
roundab/frag/rlb/2	bacteria	0.34	236	0.81	122963
roundab/frag/rlb/2	human	0.11	74	0.25	37572
roundab/frag/rlb/2	dna-viruses	0.06	40	0.35	52345
roundab/frag/rlb/2	rna-viruses	0.04	26	0.13	18906
roundab/frag/rlb/2	ambiguous	0.00	2	0.03	5270
roundab/frag/rlb/neg	unclassified	99.88	95410	99.83	75494187
roundab/frag/rlb/neg	human	0.05	52	0.06	48393
roundab/frag/rlb/neg	bacteria	0.05	45	0.06	47563
roundab/frag/rlb/neg	rna-viruses	0.02	17	0.03	26402
roundab/frag/rlb/neg	dna-viruses	0.00	3	0.01	4381
roundab/frag/rlb/neg	ambiguous	0.00	1	0.00	2975
roundab/frag/neb+rlb/1	unclassified	99.28	91143	98.52	18006235
